codigo,nombre,precio,laboratorio
308004,HEMORRAGIAS OCULTAS,1333,imalab
308004,HEMORRAGIAS OCULTAS 2,1333,imalab
308004,HEMORRAGIAS OCULTAS 3,1333,imalab
301048,HEMOSIDERINA,2000,imalab
309035,HEMOSIDERINA EN ORINA,2528,imalab
306074,HEPATITIS A ANTICUERPOS IGM,22549,imalab
306080,HEPATITIS B ANTICORE IGM,17221,imalab
306076,HEPATITIS B ANTICORE TOTAL ,17735,imalab
P308888,HEPATITIS B ANTI-HBs (AUSAB),136000,imalab
306084,"HEPATITIS B, CARGA VIRAL",212413,imalab
306081,HEPATITIS C (ANTI HCV),9437,imalab
306085,"HEPATITIS C, CARGA VIRAL",212413,imalab
306061,HIDATIDOSIS ANTICUERPOS IGG,9216,imalab
309017,HIDROXIPROLINA ORINA,5210,imalab
305116,HLA-AB TIPIFICACIÓN (BIOLOGÍA MOLECULAR),283872,imalab
305117,HLA-ABDR TIPIFICACIÓN  (BIOLOGÍA MOLECULAR),202790,imalab
305118,HLA-B27 TIPIFICACIÓN ,149040,imalab
305119,HLA-C TIPIFICACIÓN  (BIOLOGÍA MOLECULAR),74438,imalab
305120,HLA-DP TIPIFICACIÓN  (BIOLOGÍA  MOLECULAR),74438,imalab
